[I 220131 11:28:57 engine:76] TRAIN | Epoch: [92/150][510/7830] | Time: 0.000/0.241 | Loss: 0.007 | Acc: 1.000 | mIoU: 0.999
[I 220131 11:28:59 engine:76] TRAIN | Epoch: [92/150][520/7830] | Time: 0.000/0.224 | Loss: 0.221 | Acc: 0.901 | mIoU: 0.547
[I 220131 11:29:01 engine:76] TRAIN | Epoch: [92/150][530/7830] | Time: 0.000/0.246 | Loss: 0.031 | Acc: 0.991 | mIoU: 0.980
[I 220131 11:29:04 engine:76] TRAIN | Epoch: [92/150][540/7830] | Time: 0.000/0.231 | Loss: 0.145 | Acc: 0.932 | mIoU: 0.863
[I 220131 11:29:06 engine:76] TRAIN | Epoch: [92/150][550/7830] | Time: 0.000/0.226 | Loss: 0.088 | Acc: 0.964 | mIoU: 0.703
[I 220131 11:29:08 engine:76] TRAIN | Epoch: [92/150][560/7830] | Time: 0.000/0.226 | Loss: 0.197 | Acc: 0.931 | mIoU: 0.651
[I 220131 11:29:11 engine:76] TRAIN | Epoch: [92/150][570/7830] | Time: 0.000/0.239 | Loss: 0.118 | Acc: 0.964 | mIoU: 0.615
[I 220131 11:29:13 engine:76] TRAIN | Epoch: [92/150][580/7830] | Time: 0.000/0.245 | Loss: 0.132 | Acc: 0.950 | mIoU: 0.902
[I 220131 11:29:15 engine:76] TRAIN | Epoch: [92/150][590/7830] | Time: 0.000/0.231 | Loss: 0.403 | Acc: 0.778 | mIoU: 0.419
[I 220131 11:29:17 engine:76] TRAIN | Epoch: [92/150][600/7830] | Time: 0.000/0.225 | Loss: 0.157 | Acc: 0.945 | mIoU: 0.587
[I 220131 11:29:20 engine:76] TRAIN | Epoch: [92/150][610/7830] | Time: 0.000/0.223 | Loss: 0.077 | Acc: 0.970 | mIoU: 0.926
[I 220131 11:29:22 engine:76] TRAIN | Epoch: [92/150][620/7830] | Time: 0.000/0.227 | Loss: 0.040 | Acc: 0.989 | mIoU: 0.816
[I 220131 11:29:24 engine:76] TRAIN | Epoch: [92/150][630/7830] | Time: 0.000/0.223 | Loss: 0.181 | Acc: 0.928 | mIoU: 0.557
[I 220131 11:29:27 engine:76] TRAIN | Epoch: [92/150][640/7830] | Time: 0.000/0.227 | Loss: 0.014 | Acc: 0.999 | mIoU: 0.665
[I 220131 11:29:29 engine:76] TRAIN | Epoch: [92/150][650/7830] | Time: 0.000/0.229 | Loss: 0.286 | Acc: 0.884 | mIoU: 0.650
[I 220131 11:29:31 engine:76] TRAIN | Epoch: [92/150][660/7830] | Time: 0.000/0.228 | Loss: 0.305 | Acc: 0.875 | mIoU: 0.518
[I 220131 11:29:34 engine:76] TRAIN | Epoch: [92/150][670/7830] | Time: 0.000/0.226 | Loss: 0.159 | Acc: 0.953 | mIoU: 0.600
[I 220131 11:29:36 engine:76] TRAIN | Epoch: [92/150][680/7830] | Time: 0.000/0.228 | Loss: 0.166 | Acc: 0.951 | mIoU: 0.604
[I 220131 11:29:38 engine:76] TRAIN | Epoch: [92/150][690/7830] | Time: 0.000/0.225 | Loss: 0.011 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:29:40 engine:76] TRAIN | Epoch: [92/150][700/7830] | Time: 0.000/0.226 | Loss: 0.150 | Acc: 0.958 | mIoU: 0.720
[I 220131 11:29:43 engine:76] TRAIN | Epoch: [92/150][710/7830] | Time: 0.000/0.242 | Loss: 0.027 | Acc: 0.999 | mIoU: 0.665
[I 220131 11:29:45 engine:76] TRAIN | Epoch: [92/150][720/7830] | Time: 0.000/0.227 | Loss: 0.020 | Acc: 0.997 | mIoU: 0.993
[I 220131 11:29:47 engine:76] TRAIN | Epoch: [92/150][730/7830] | Time: 0.000/0.243 | Loss: 0.025 | Acc: 0.998 | mIoU: 0.720
